StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q28,Q26,Q3,Q4,Q5,Q5_2_TEXT,Q6,Q7,Q8,Q8_9_TEXT,Q9,Q11,Q12,Q25,Q16,Q13,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q14,Q17,Q18,Q18_3_TEXT,Q19,Q19_3_TEXT,Q20,Q15_1,Q15_2,Q15_3,Q15_4,Q15_5,Q15_6,Q15_7,Q15_7_TEXT,Q23,PROLIFIC_PID
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you agree to participate in this survey?,Do you currently reside in South Africa?,"What is your Prolific ID?

Please note that this response should auto-fill with the correct ID",How old are you?,How would you describe your gender?,What is your Nationality? - Selected Choice,What is your Nationality? - Other - Text,Which city/town do you currently live in?,Which city/town are you originally from?,What is your highest level of education? - Selected Choice,What is your highest level of education? - Other - Text,Do you work in the medical field?,Were you vaccinated as a child?,Have you taken the Covid-19 vaccine?,Why did you chose not to take the vaccine?,Why did you choose to take the vaccine?,Have you taken the vaccine booster?,Please rate your agreement with the following statements - COVID-19 is caused by a virus,Please rate your agreement with the following statements - Wearing a mask will protect me from contracting COVID-19,Please rate your agreement with the following statements - Wearing a mask protects others from contracting COVID-19 from me,Please rate your agreement with the following statements - The vaccines were developed by scientist and proper testing was done,"Please rate your agreement with the following statements - Some COVID-19 vaccines have a higher efficacy than others, meaning less vaccinated people contract the virus",Please rate your agreement with the following statements - The COVID-19 vaccines protects against severe illness and death,"Please rate your agreement with the following statements - The more people vaccinated, the faster we will reach herd immunity",Do you sanitise your hands regularly?,Do you feel that it is important to know others' vaccination status?,Do you think that companies should be allowed to mandate Covid-19 vaccination for their employees? - Selected Choice,Do you think that companies should be allowed to mandate Covid-19 vaccination for their employees? - Other - Text,Do you think schools/universities should be allowed to mandate vaccines for students? - Selected Choice,Do you think schools/universities should be allowed to mandate vaccines for students? - Other - Text,Do you know more people who have taken the vaccine or more people that have not taken the vaccine?,"What is your main source of trusted news and/or information? - Selected Choice - News channels, eg. eNCA",What is your main source of trusted news and/or information? - Selected Choice - Newspapers,What is your main source of trusted news and/or information? - Selected Choice - YouTube,What is your main source of trusted news and/or information? - Selected Choice - Facebook or other social media,What is your main source of trusted news and/or information? - Selected Choice - Government,What is your main source of trusted news and/or information? - Selected Choice - Scientific research papers,What is your main source of trusted news and/or information? - Selected Choice - Other,What is your main source of trusted news and/or information? - Other - Text,Comments,PROLIFIC_PID
"{""ImportId"":""startDate"",""timeZone"":""Africa/Harare""}","{""ImportId"":""endDate"",""timeZone"":""Africa/Harare""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Africa/Harare""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2""}","{""ImportId"":""QID29""}","{""ImportId"":""QID27_TEXT""}","{""ImportId"":""QID3_TEXT""}","{""ImportId"":""QID4""}","{""ImportId"":""QID5""}","{""ImportId"":""QID5_2_TEXT""}","{""ImportId"":""QID6_TEXT""}","{""ImportId"":""QID7_TEXT""}","{""ImportId"":""QID8""}","{""ImportId"":""QID8_9_TEXT""}","{""ImportId"":""QID9""}","{""ImportId"":""QID11""}","{""ImportId"":""QID12""}","{""ImportId"":""QID26_TEXT""}","{""ImportId"":""QID16_TEXT""}","{""ImportId"":""QID13""}","{""ImportId"":""QID10_1""}","{""ImportId"":""QID10_2""}","{""ImportId"":""QID10_8""}","{""ImportId"":""QID10_3""}","{""ImportId"":""QID10_4""}","{""ImportId"":""QID10_5""}","{""ImportId"":""QID10_6""}","{""ImportId"":""QID14""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID18_3_TEXT""}","{""ImportId"":""QID19""}","{""ImportId"":""QID19_3_TEXT""}","{""ImportId"":""QID20""}","{""ImportId"":""QID15"",""choiceId"":""1""}","{""ImportId"":""QID15"",""choiceId"":""2""}","{""ImportId"":""QID15"",""choiceId"":""3""}","{""ImportId"":""QID15"",""choiceId"":""4""}","{""ImportId"":""QID15"",""choiceId"":""5""}","{""ImportId"":""QID15"",""choiceId"":""6""}","{""ImportId"":""QID15"",""choiceId"":""7""}","{""ImportId"":""QID15_7_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""PROLIFIC_PID""}"
2022-06-23 10:32:19,2022-06-23 10:35:22,IP Address,154.127.121.170,100,183,True,2022-06-23 10:35:22,R_2ToOfrqUShngiQg,,,,,-25.7599,28.2604,anonymous,EN,Agree,,6137216fe81d8eabdaafbe9c,21,Female,South Africa,,Pretoria,Cape Town,Matric,,No,Yes,Yes,,It's the right thing to do. To protect myself and others.,No,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Often,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,n/a,6137216fe81d8eabdaafbe9c
2022-06-23 10:31:26,2022-06-23 10:35:42,IP Address,41.144.65.33,100,255,True,2022-06-23 10:35:42,R_0qQA1QageVonDfr,,,,,-26.3811,27.8376,anonymous,EN,Agree,,6144d8ec0ec1a2b2ea25592c,29,Female,South Africa,,Johannesburg,Johannesburg,Matric,,No,Yes,Yes,,"I was compelled to vaccinate for a job opportunity, that I ended up not getting. ",No,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Extremely often,No,No,,No,,More people who have not been vaccinated,"News channels, eg. eNCA",Newspapers,,,Government,,,,,6144d8ec0ec1a2b2ea25592c
2022-06-23 10:32:53,2022-06-23 10:37:19,IP Address,102.182.179.43,100,266,True,2022-06-23 10:37:19,R_a9OtpxVoULGFewh,,,,,-33.914,18.4129,anonymous,EN,Agree,,611e78a860fcbffb4b275fbe,33,Female,South Africa,,Cape Town,Cape Town,Bachelor Degree,,No,Yes,Yes,,"To have some sort of protection against COVID-19 as it had bad side effects, and alot of people were dying of it, so I thought of my children and me not dying at an early age just because I didn't take the vaccine.",I am still deciding,Strongly disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Extremely often,Yes,Yes,,Yes,,More people who have been vaccinated,"News channels, eg. eNCA",,YouTube,,Government,,,,,611e78a860fcbffb4b275fbe
2022-06-23 10:32:29,2022-06-23 10:37:38,IP Address,109.68.58.13,100,309,True,2022-06-23 10:37:38,R_1riWKs310ApBCEA,,,,,-26.3811,27.8376,anonymous,EN,Agree,,60c707d04a115d18081d63da,29,Female,South Africa,,Rustenburg,Rustenburg,Diploma,,No,Yes,No,Due medical reasons. i was diagnosed with Pulmonary Embolism a year before covid,,,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Sometimes,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,,,,,,,,60c707d04a115d18081d63da
2022-06-23 10:33:13,2022-06-23 10:38:05,IP Address,102.222.12.73,100,292,True,2022-06-23 10:38:06,R_1cSWJehaROLlzZO,,,,,-34.0486,18.4811,anonymous,EN,Agree,,605b838b80f022835fc293fb,29,Female,Other,Zimbabwean,Capetown,Manicaland,Bachelor Degree,,No,Yes,Yes,,Fiszer,No,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither too much nor too little,"It depends on the situation, eg. if you are attending an event with a large number of people",Yes,,Yes,,More people who have not been vaccinated,"News channels, eg. eNCA",,,,Government,,,,no,605b838b80f022835fc293fb
2022-06-23 10:33:10,2022-06-23 10:39:21,IP Address,41.216.201.97,100,370,True,2022-06-23 10:39:21,R_1EbsGrW881218Fo,,,,,-26.3811,27.8376,anonymous,EN,Agree,,601beff593007e61bdbdbdfc,27,Female,South Africa,,Pretoria,Ellisras,Bachelor Degree,,No,Yes,Yes,,"I was willing to take the vaccine to protect myself and others from potentially getting infected by me. ",No,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Extremely often,"It depends on the situation, eg. if you are attending an event with a large number of people",Other,Depends on the work environment.,Other,"I don't have strong opinions on what institutions should/shouldn't do. I believe that whatever the institution decides based on their own research is valid, however. ",More people who have been vaccinated,,,,,,,Other,"It is a combination of things, I like to read what majority sources talk about and base my trust on that, rather than one particular source. ",,601beff593007e61bdbdbdfc
2022-06-23 10:33:12,2022-06-23 10:39:42,IP Address,197.185.110.70,100,389,True,2022-06-23 10:39:42,R_2RWwyuD4ZP69MUW,,,,,-26.3811,27.8376,anonymous,EN,Agree,,611cec3c078ff6fb53109e7f,20,Male,South Africa,,Pretoria,Pretoria,Matric,,No,Yes,Yes,,"To protect myself and others ",I am going to take the vaccine booster,Strongly agree,Somewhat disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither too much nor too little,No,No,,No,,More people who have been vaccinated,"News channels, eg. eNCA",,YouTube,,Government,,,,,611cec3c078ff6fb53109e7f
2022-06-23 10:32:32,2022-06-23 10:40:57,IP Address,41.150.225.253,100,504,True,2022-06-23 10:40:57,R_2zMHJhgveYhsLwZ,,,,,-26.3811,27.8376,anonymous,EN,Agree,,616cdbbe663871d6ac78af65,32,Female,South Africa,,Germiston,Germiston,Diploma,,No,Yes,Yes,,mandotary,No,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Often,No,No,,No,,More people who have been vaccinated,,,,,,Scientific research papers,,,,616cdbbe663871d6ac78af65
